,prices,address,beds,links,type,baths,sq_feet
0,"$1,800,000","3892 County Road 45, Hudson, CO 80642",5,https://www.zillow.com/homedetails/3892-County-Road-45-Hudson-CO-80642/147534469_zpid/, House,4,"5,710"
1,"$594,900","21745 Whirlaway Ave, Parker, CO 80138",4,https://www.zillow.com/homedetails/21745-Whirlaway-Ave-Parker-CO-80138/13473880_zpid/, Coming soon,3,"3,365"
2,"$495,000","3739 Roosevelt Ave, Wellington, CO 80549",4,https://www.zillow.com/homedetails/3739-Roosevelt-Ave-Wellington-CO-80549/13874290_zpid/, Multifamily home,2,"1,728"
3,"$275,000","615 &amp; 617 S Cedar St, Cortez, CO 81321",4,https://www.zillow.com/homedetails/615-617-S-Cedar-St-Cortez-CO-81321/2066667123_zpid/, Multifamily home,2,"2,028"
4,"$770,000","1901 N Greenwood St, Pueblo, CO 81003",4,https://www.zillow.com/homedetails/1901-N-Greenwood-St-Pueblo-CO-81003/14015128_zpid/, House,6,"4,922"
5,"$530,000","3616 Mountain View Ct, Longmont, CO 80503",3,https://www.zillow.com/homedetails/3616-Mountain-View-Ct-Longmont-CO-80503/13207681_zpid/, Coming soon,2,"1,233"
6,"$1,195,000","7029 S Magnolia Cir, Centennial, CO 80112",4,https://www.zillow.com/homedetails/7029-S-Magnolia-Cir-Centennial-CO-80112/13134192_zpid/, Coming soon,3,"3,814"
7,"$1,650,000","4514 Sprucedale Pl, Boulder, CO 80301",5,https://www.zillow.com/homedetails/4514-Sprucedale-Pl-Boulder-CO-80301/109685110_zpid/, House,5,"4,660"
8,"$210,000","1175 S Oneida St APT E, Denver, CO 80224",1,https://www.zillow.com/homedetails/1175-S-Oneida-St-APT-E-Denver-CO-80224/13407570_zpid/, Condo,1,614
9,"$305,000","1233 N Ogden St APT 510, Denver, CO 80218",1,https://www.zillow.com/homedetails/1233-N-Ogden-St-APT-510-Denver-CO-80218/13330004_zpid/, Condo,1,715
10,"$350,000","1411 Xanthia St, Denver, CO 80220",2,https://www.zillow.com/homedetails/1411-Xanthia-St-Denver-CO-80220/13388597_zpid/, Coming soon,1,996
11,"$1,350,000","369 Doe Cir, Franktown, CO 80116",5,https://www.zillow.com/homedetails/369-Doe-Cir-Franktown-CO-80116/13495846_zpid/, Coming soon,4,"4,992"
12,"$429,239","207 Cedar Ridge Dr, Canon City, CO 81212",3,https://www.zillow.com/homedetails/207-Cedar-Ridge-Dr-Canon-City-CO-81212/218704343_zpid/, House,2,"1,556"
13,"$425,000","307 Curtis St, Buena Vista, CO 81211",1,https://www.zillow.com/homedetails/307-Curtis-St-Buena-Vista-CO-81211/96845349_zpid/, House,1,"1,034"
14,"$795,000","4810 Jasmine Ct, Pueblo, CO 81001",6,https://www.zillow.com/homedetails/4810-Jasmine-Ct-Pueblo-CO-81001/14001639_zpid/, House,5,"5,956"
15,"$350,000","1325 SE Stonebridge Dr, Cedaredge, CO 81413",3,https://www.zillow.com/homedetails/1325-SE-Stonebridge-Dr-Cedaredge-CO-81413/103873213_zpid/, Townhouse,2,"1,655"
16,"$470,000","8123 Gladwater Rd, Peyton, CO 80831",4,https://www.zillow.com/homedetails/8123-Gladwater-Rd-Peyton-CO-80831/59735562_zpid/, House,3,"2,620"
